1, 489, 4, 13
2, 1678, 11, 4
3, 1424, 26, 15
4, 289, 27, 13
5, 409, 84, 11
6, 798, 77, 1
7, 955, 47, 15
8, 1122, 53, 9
9, 644, 97, 9
10, 18, 85, 12
11, 249, 10, 9
12, 1313, 64, 19
13, 328, 24, 20
14, 1472, 57, 11
15, 1318, 26, 3
16, 573, 3, 20
17, 555, 20, 20
18, 327, 12, 8
19, 1992, 48, 5
20, 1535, 63, 20
21, 1499, 98, 6
22, 1978, 91, 1
23, 708, 26, 20
24, 1215, 90, 2
25, 921, 96, 11
26, 1266, 72, 16
27, 1062, 99, 20
28, 806, 64, 1
29, 1818, 20, 6
30, 131, 5, 3
31, 934, 53, 6
32, 190, 74, 6
33, 1205, 66, 1
34, 795, 77, 8
35, 1101, 36, 2
36, 1059, 91, 11
37, 1578, 58, 12
38, 1861, 34, 9
39, 941, 77, 8
40, 253, 15, 13
41, 1036, 48, 9
42, 1024, 39, 6
43, 1793, 24, 5
44, 951, 97, 20
45, 1281, 6, 16
46, 240, 83, 3
47, 1129, 20, 3
48, 1811, 88, 15
49, 807, 80, 16
50, 1805, 72, 6
51, 1265, 58, 1
52, 600, 54, 8
53, 1286, 5, 3
54, 589, 69, 7
55, 690, 61, 12
56, 1748, 39, 9
57, 1921, 41, 12
58, 636, 46, 4
59, 858, 14, 7
60, 483, 11, 11
61, 1167, 54, 11
62, 1936, 26, 7
63, 1493, 27, 20
64, 1152, 37, 6
65, 208, 65, 14
66, 1874, 26, 4
67, 1023, 27, 18
68, 1003, 8, 12
69, 826, 20, 11
70, 1885, 49, 8
71, 1686, 18, 11
72, 1282, 49, 6
73, 1514, 34, 2
74, 1524, 95, 8
75, 298, 37, 4
76, 528, 64, 4
77, 695, 82, 4
78, 1442, 42, 10
79, 1948, 82, 13
80, 938, 30, 20
81, 582, 3, 4
82, 35, 90, 16
83, 1096, 12, 13
84, 371, 71, 4
85, 1844, 30, 9
86, 1117, 2, 13
87, 544, 40, 5
88, 1405, 67, 17
89, 1792, 30, 6
90, 66, 41, 6
91, 1626, 13, 19
92, 39, 20, 4
93, 7, 9, 18
94, 1770, 88, 15
95, 1559, 61, 12
96, 65, 61, 7
97, 1002, 40, 18
98, 556, 87, 12
99, 1009, 97, 20
100, 822, 59, 11
101, 1126, 15, 1
102, 981, 46, 15
103, 261, 61, 1
104, 1961, 86, 15
105, 1104, 3, 13
106, 1075, 88, 16
107, 465, 31, 6
108, 1550, 60, 2
109, 810, 85, 14
110, 1400, 8, 13
111, 584, 11, 8
112, 463, 83, 12
113, 413, 24, 19
114, 715, 9, 6
115, 1339, 47, 5
116, 621, 69, 5
117, 1005, 7, 17
118, 166, 65, 5
119, 118, 13, 11
120, 334, 38, 5
121, 1402, 92, 19
122, 647, 65, 2
123, 1797, 4, 8
124, 1022, 58, 17
125, 136, 4, 1
126, 497, 79, 16
127, 1952, 61, 9
128, 1990, 52, 9
129, 1812, 94, 20
130, 445, 83, 19
131, 1696, 68, 15
132, 531, 35, 4
133, 1139, 64, 12
134, 45, 21, 18
135, 823, 6, 11
136, 922, 6, 13
137, 1409, 18, 13
138, 1395, 64, 7
139, 1415, 36, 11
140, 1176, 64, 13
141, 1065, 33, 9
142, 1731, 94, 7
143, 296, 32, 1
144, 777, 91, 8
145, 703, 87, 17
146, 1040, 57, 13
147, 1211, 58, 2
148, 783, 44, 14
149, 94, 54, 6
